Key	角色	台詞
BeforeBattle_001	MainCharacter	正在整理裝備清單，享受這難得的寧靜片刻，瑟琳正在旁邊幫忙清點彈藥。
BeforeBattle_002	MainCharacter	突然，「轟」地一聲巨響，整個基地劇烈震動，天花板的灰塵簌簌落下，警報聲大作。
BeforeBattle_003	MainGirlA	「呀！發生什麼事了？敵襲嗎？蟲子攻進來了？」
BeforeBattle_004	MainCharacter	「不對！這震動是從內部傳來的！震源在機房！」
BeforeBattle_005	MainGirlB	「媽的！我就知道！那個新來的瘋女人肯定在搞鬼！快過去看看！」
BeforeBattle_006	MainCharacter	抓起槍衝向機房，只見門口冒著黑煙，莉娜正對著裡面破口大罵。
BeforeBattle_007	MainCharacter	揮開煙霧後，看見諾拉灰頭土臉地站在那裡，手裡還拿著一把燒焦的扳手，表情卻異常淡定。
BeforeBattle_008	MainCharacter	「諾拉！妳在搞什麼鬼！妳是嫌蟲子不夠多，想直接把我們炸死是不是？」
BeforeBattle_009	MainGirlC	「咳……計算出現微小偏差。我試圖將基地的能源輸出功率提升300%，但冷卻系統顯然跟不上我的思路。」
BeforeBattle_010	MainCharacter	「微小偏差？！妳看看旁邊！通訊終端機都燒成炭了！這下我們跟外面斷聯了！」
BeforeBattle_011	MainGirlC	「那是必要的犧牲。至少核心反應爐沒炸，理論驗證成功了一半。」
BeforeBattle_012	MainGirlB	「妳管這叫成功？！現在不是讓妳發表報告的時候！爆炸聲把附近的蟲群全引來了，雷達上全是紅點！」
BeforeBattle_013	MainGirlA	「傭兵先生！外牆的監視器看到蟲群正在快速接近，我們被包圍了！」
BeforeBattle_014	MainCharacter	「真是撿了個大麻煩回來！立刻就戰鬥位置，我可不想讓蟲子衝進基地，陪新來的那個大麻煩一起睡覺。」
BeforeBattle_015	MainCharacter	「至於妳，諾拉，妳給我待在這裡反省，別再給我添亂！」
BeforeBattle_016	MainGirlC	「反省？蟲子已經被吵醒了，有實驗樣本不用白不用。」
BeforeBattle_017	MainGirlC	說著，她在佈滿灰塵的鍵盤上快速敲擊了幾下。
BeforeBattle_018	MainCharacter	基地上方傳來貨艙開啟的悶響，幾具原型鋸片近戰塔從空投艙砸落在外圍陣地，支架展開，鋸盤高速轉起，封住蟲群衝來的路線。
BeforeBattle_019	MainGirlC	「試作型鋸片塔，啟動。活體樣本數量充足，正好測切割效率和耐用度。」
BeforeBattle_020	MainCharacter	「妳這傢伙……這種時候還在收數據？算了，有東西能擋就先擋！莉娜，瑟琳，火力壓上去！」
AfterBattle_001	MainCharacter	「呼……總算把被爆炸引來的蟲子清乾淨了。」
AfterBattle_002	MainCharacter	轉頭看向罪魁禍首，她正抱著筆記型電腦，盯著跳動的數據曲線，手指還在鍵盤上敲個不停。
AfterBattle_003	MainGirlB	「喂！妳這瘋子！妳知道剛才多危險嗎？要不是那些鋸片塔，我們早完了！」
AfterBattle_004	MainGirlC	「危險？原型鋸片塔切割效率達到預期，蟲子的擊殺數據也收到了。除了剛才發生的爆炸這點小瑕疵以外，實驗結果非常完美。」
AfterBattle_005	MainCharacter	「完美個頭！諾拉，我現在非常需要一個不把妳扔出去餵蟲子的理由。」
AfterBattle_006	MainCharacter	說完後，指著旁邊焦黑的機器。
AfterBattle_007	MainCharacter	「代價是我們唯一的長程通訊器變成了廢鐵！現在我們成了聾子和啞巴了！」
AfterBattle_008	MainGirlA	「傭兵先生……備用零件庫裡好像沒有能維修這種高階通訊器的材料……」
AfterBattle_009	MainGirlB	莉娜掀開通訊器外殼，往裡看了一眼，臉色立刻沉下去。
AfterBattle_010	MainGirlB	「妳是打算用我們的能源系統烤肉嗎？這損壞太嚴重了，晶片都燒融了。」
AfterBattle_011	MainGirlC	「確實。修復這個需要特定型號的高頻晶片和軍用傳輸線路。我手邊沒有材料，也沒辦法把燒焦的殘渣捏回晶片。」
AfterBattle_012	MainGirlB	「妳還好意思說！這全是妳害的！」
AfterBattle_013	MainCharacter	「行了，現在罵她也沒用。長程通訊器沒了，就試試備用通訊設備，看能不能把求援訊號打出去。」
AfterBattle_014	MainCharacter	「瑟琳，去把緊急發信機拿來，我們試試看能不能聯絡最近的巡邏機。」
AfterBattle_015	MainGirlA	「是！我馬上去！」
AfterBattle_016	MainCharacter	「莉娜，妳負責盯著這個大麻煩。別讓她靠近任何控制台，如果她不安份就直接拿扳手把她手打斷。」
AfterBattle_017	MainGirlB	「放心，交給我。她要是敢再亂動一根手指頭，我就把她綁在砲管上射出去。」
AfterBattle_018	MainGirlC	「粗魯。科學的進步總是伴隨著爆炸與犧牲，造成的損失是進步的副產物。」
AfterBattle_019	MainCharacter	「再多說一個字，我就把妳丟出去當蟲子的晚餐。」
AfterBattle_020	MainGirlC	「……保持安靜是明智的選擇。」
